Feature,Coefficient
HomePPG,-25.114353979828113
HomeOE,30.895583877264496
HomePIP,0.9820345097997397
HomeFBP,0.11630737164465096
HomeTP,0.023630512907632222
HomeFTP,0.5912738114526314
HomeTRB,4.193221165996186
HomeFPG,0.7801803082720887
HomeOPPG,4.624479278634895
HomeDE,3.3537316628612057
HomeOPIP,1.5492106911371109
HomeOFBP,0.14678227398280588
HomeOTP,-0.1832909851921756
HomeOTRB,4.985448944884296
HomeOFPG,-0.2833382845528622
HomePoss,7.718425069692101
HomeEPR,-4.983895940416179
HomeOEPR,-4.393163910966138
AwayPPG,-20.91596303371104
AwayOE,23.13597523577625
AwayPIP,-1.309743593041669
AwayFBP,-0.02886444822344682
AwayTP,0.21183375356931178
AwayFTP,-0.4539393791363556
AwayTRB,-3.0955894928817105
AwayFPG,-0.3696185432689621
AwayOPPG,-13.516544863467958
AwayDE,8.829674533465468
AwayOPIP,0.3360601056154623
AwayOFBP,-0.08666799462881448
AwayOTP,0.8376795121983169
AwayOTRB,-3.7547450777464206
AwayOFPG,0.5802849261734595
AwayPoss,28.043730518834774
AwayEPR,2.7011566326845498
AwayOEPR,2.1844663357607823
HomeBackToBack,0.2853448325193673
AwayBackToBack,0.2853448325194782
