Spread
-12
4
-30
4
-23
-6
-1
-3
1
7
20
16
7
-12
-1
-5
4
12
6
3
-8
-1
-4
-5
-2
5
8
-16
-7
-9
12
7
-16
-22
33
11
17
-28
-40
-5
7
19
12
8
-14
15
-8
28
-12
-8
-3
18
1
-16
9
-19
-9
-51
4
6
4
-9
-21
-9
-24
-1
-5
-15
-9
2
11
-5
-5
2
-7
2
-11
-2
-12
1
18
-19
10
-18
-28
-22
14
7
-11
-6
12
11
-41
15
-18
4
-1
-14
-17
-25
-5
-9
-18
16
-16
-3
-7
-21
1
-34
6
-2
-21
-8
11
-3
-3
-2
1
8
7
-14
-3
6
7
-18
3
-7
-15
-23
8
8
-22
-8
4
-11
-11
-3
12
5
12
6
-6
-16
-4
-9
-12
6
6
6
-20
-36
-21
-16
-3
3
-27
13
2
10
16
2
-18
15
14
-7
19
31
21
10
-8
9
3
6
-5
12
3
-6
14
1
-5
-7
12
7
22
-29
12
-12
16
2
3
43
-1
-3
4
13
18
-17
-36
25
-5
-19
5
3
-13
-32
-3
-5
-2
-3
33
1
-20
-13
-5
-14
7
-8
-16
3
-17
21
-2
-13
-19
-23
-3
13
-6
10
4
-15
28
6
-5
-19
-6
-10
22
3
-13
-9
-3
-12
19
4
-44
-2
9
-27
-12
-23
7
-24
-3
-6
-1
26
-19
-7
-14
-10
-10
14
8
1
-10
-6
-7
-11
-23
2
-6
-5
-6
14
13
-15
8
-1
6
-28
9
-6
15
-11
6
-7
-5
-6
-10
-10
10
-24
-3
-10
14
5
1
-8
9
-11
-9
-50
-4
-9
9
-44
-3
-32
-11
-10
-27
24
12
-2
9
8
8
13
14
2
8
-10
-45
7
-6
-11
7
-4
-14
-14
-13
-5
-7
-2
8
-3
-20
18
20
-11
-7
-13
-14
3
4
-4
-9
8
18
-23
8
-5
-8
5
-32
-14
-17
-14
21
7
17
-32
53
-8
-2
-18
-4
1
11
-21
-22
-17
36
-9
-4
4
-5
24
4
-6
4
-15
-19
-26
-17
-12
5
2
-13
-6
-5
-8
-31
9
-14
19
9
-16
7
9
25
8
19
-19
-13
-4
-19
-7
1
-10
5
-26
-9
-11
-15
19
37
7
7
2
6
-11
7
14
9
-25
-20
12
-7
-6
11
-6
14
6
8
-5
6
1
-23
12
-17
-9
20
30
22
16
-9
3
-6
16
-8
-7
-37
12
13
-21
-9
-6
7
-2
8
4
26
-14
-6
-11
-8
-2
-14
-13
-2
10
4
-20
-16
33
31
-5
-6
-3
-23
9
-18
-21
-37
-17
-13
-8
-27
-4
-6
7
-39
-12
-3
-11
5
11
-29
-16
9
-6
14
-3
4
3
-29
-34
-9
-24
36
-13
27
16
-36
2
-16
-4
14
-5
17
16
11
-4
-2
7
-7
33
-7
-17
6
15
-3
7
-2
8
-7
16
-27
21
21
-28
17
-1
-7
25
22
-8
-7
8
-5
36
-13
-6
-9
-33
-62
-4
18
18
2
-19
9
9
-3
-23
-36
-32
-12
-32
28
12
-11
-12
10
6
-7
-8
-17
-1
-4
11
-9
-5
4
12
-10
-9
-18
1
9
-27
-7
-5
-2
-11
7
-2
-19
-40
-15
-24
-20
-17
-2
-4
6
5
-15
5
-4
15
2
1
14
-3
18
6
8
4
21
-26
-29
-1
5
-11
-18
9
9
-7
-24
9
27
-10
8
3
9
-2
-15
5
5
-29
-2
-11
-7
11
9
6
-10
23
26
-22
-12
15
2
33
-38
1
-9
5
34
-2
20
-1
12
24
-16
14
-16
-6
-2
19
12
-24
1
-1
5
-16
-6
-1
-15
8
21
-10
-6
-33
13
-16
9
6
5
-2
-6
-26
-16
-5
11
-12
7
-7
16
-9
11
-34
-5
10
16
-3
9
-4
7
3
8
-9
11
-29
20
2
-20
1
-12
15
-7
8
12
8
16
12
28
-40
16
8
-21
-8
-15
-9
6
-26
16
5
11
-38
-3
12
-26
-10
-6
-7
-8
6
8
-8
-12
23
11
13
22
-16
23
14
8
24
-14
8
6
6
-4
-3
-36
-29
-17
-35
-6
-20
-9
-6
6
-9
14
24
-1
9
4
-14
-9
2
10
23
-2
-17
-8
22
21
8
14
26
-5
12
-14
-23
-18
5
-50
-3
2
-8
-7
-23
4
-16
16
5
-3
3
37
7
-14
14
-28
-10
17
-22
-22
-20
8
-18
-5
2
-7
-4
6
11
-41
-13
5
15
-5
3
14
-15
21
-10
-22
9
-17
16
13
8
-19
13
16
8
-2
25
11
-2
-27
11
-27
-18
23
10
-38
-9
-17
10
-9
11
-9
-9
-21
4
12
-8
-27
11
-14
-5
-6
-3
10
-7
-28
15
30
4
-27
16
-25
-12
-6
7
10
9
4
-52
1
-22
-5
9
-12
8
4
-7
-5
-12
4
-12
12
-5
-1
-8
16
41
-13
17
10
10
-11
6
6
2
-35
8
10
-6
2
-6
-7
-6
3
-2
8
-12
-9
-24
7
-7
-1
16
-10
-11
18
13
10
-21
-10
7
13
2
14
8
19
6
-31
-11
-17
6
35
10
-6
22
-27
-12
10
2
16
18
-35
-9
-8
3
12
12
21
-10
-4
-13
-15
15
-16
-9
-7
12
11
13
10
-8
11
-2
-14
-21
-19
-11
-29
6
7
19
7
-11
3
-2
-15
26
-7
17
5
-25
-7
-3
10
7
-10
-31
-20
23
13
6
3
3
19
-3
34
-12
-21
-13
13
-15
-7
-10
-7
-16
-13
-13
27
20
23
-13
2
12
8
-7
-12
2
-41
11
-28
25
-3
3
13
14
-37
-25
-4
-5
-23
-2
-25
8
2
-18
-2
-25
10
-12
17
21
4
7
36
-7
8
3
-14
1
44
-26
12
-15
6
7
7
-1
-7
18
-19
3
9
-17
-3
-60
-25
-4
13
1
4
12
-30
9
-29
12
12
15
12
18
8
1
4
